GO-term,TAS_stat (-log10 pvalue),CAD_stat (-log10 pvalue),Diff (TAS-CAD),Link
GOBP_REGULATION_OF_MEIOTIC_CELL_CYCLE,2.82972619,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_MEIOTIC_CELL_CYCLE
GOBP_PROTEIN_LOCALIZATION_TO_CILIUM,2.822092745,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PROTEIN_LOCALIZATION_TO_CILIUM
GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,2.822023914,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING
GOBP_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION,2.803997661,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION
GOBP_THYMUS_DEVELOPMENT,2.796909294,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_THYMUS_DEVELOPMENT
GOBP_REGULATION_OF_TELOMERASE_ACTIVITY,2.796909294,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_TELOMERASE_ACTIVITY
GOBP_RNA_MODIFICATION,2.78698104,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RNA_MODIFICATION
GOBP_TRNA_WOBBLE_BASE_MODIFICATION,2.783656659,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TRNA_WOBBLE_BASE_MODIFICATION
GOBP_PARAXIAL_MESODERM_DEVELOPMENT,2.783656659,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PARAXIAL_MESODERM_DEVELOPMENT
GOBP_RESPONSE_TO_HYPEROXIA,2.783656659,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_HYPEROXIA
GOBP_RENAL_WATER_ABSORPTION,2.780335739,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RENAL_WATER_ABSORPTION
GOBP_LEUKOCYTE_ADHESION_TO_ARTERIAL_ENDOTHELIAL_CELL,2.780335739,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_LEUKOCYTE_ADHESION_TO_ARTERIAL_ENDOTHELIAL_CELL
GOBP_REGULATION_OF_NEUTROPHIL_MEDIATED_CYTOTOXICITY,2.780335739,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_NEUTROPHIL_MEDIATED_CYTOTOXICITY
GOBP_TRNA_MODIFICATION,2.778775683,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TRNA_MODIFICATION
GOBP_CELL_REDOX_HOMEOSTASIS,2.776218377,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_REDOX_HOMEOSTASIS
GOBP_AMYLOID_BETA_CLEARANCE,2.776218377,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_AMYLOID_BETA_CLEARANCE
GOBP_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION,2.775222334,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION
GOBP_NUCLEOSIDE_METABOLIC_PROCESS,2.769951722,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NUCLEOSIDE_METABOLIC_PROCESS
GOBP_POSITIVE_REGULATION_OF_NUCLEAR_DIVISION,2.752730538,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_NUCLEAR_DIVISION
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CILIUM,2.751679557,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CILIUM
GOBP_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION,2.751679557,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION
GOBP_GLOMERULAR_BASEMENT_MEMBRANE_DEVELOPMENT,2.751679557,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_GLOMERULAR_BASEMENT_MEMBRANE_DEVELOPMENT
GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION,2.751019462,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION
GOBP_EPIDERMIS_DEVELOPMENT,2.745953597,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPIDERMIS_DEVELOPMENT
GOBP_VASOCONSTRICTION,2.74572849,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_VASOCONSTRICTION
GOBP_NEURON_FATE_COMMITMENT,2.739416613,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEURON_FATE_COMMITMENT
GOBP_NEGATIVE_REGULATION_OF_DEPHOSPHORYLATION,2.728997613,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_DEPHOSPHORYLATION
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,2.697044298,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT
GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS,2.697044298,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS
GOBP_NEGATIVE_REGULATION_OF_PLASMINOGEN_ACTIVATION,2.696865523,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_PLASMINOGEN_ACTIVATION
GOBP_CELLULAR_RESPONSE_TO_LAMINAR_FLUID_SHEAR_STRESS,2.696865523,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_RESPONSE_TO_LAMINAR_FLUID_SHEAR_STRESS
GOBP_REGULATION_OF_MESENCHYMAL_STEM_CELL_DIFFERENTIATION,2.696865523,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_MESENCHYMAL_STEM_CELL_DIFFERENTIATION
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT,2.695589402,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,2.693078316,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS
GOBP_REGULATION_OF_DNA_RECOMBINATION,2.688230708,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_DNA_RECOMBINATION
GOBP_EAR_DEVELOPMENT,2.684374703,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EAR_DEVELOPMENT
GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM,2.68226733,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM
GOBP_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,2.676401321,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,2.675686161,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT
GOBP_SKIN_DEVELOPMENT,2.669199559,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SKIN_DEVELOPMENT
GOBP_GLUCOSE_IMPORT,2.66349796,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_GLUCOSE_IMPORT
GOBP_POSITIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,2.661698915,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
GOBP_CELLULAR_HYPEROSMOTIC_RESPONSE,2.637904914,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_HYPEROSMOTIC_RESPONSE
GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT,2.633779923,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT
GOBP_CELLULAR_RESPONSE_TO_DEXAMETHASONE_STIMULUS,2.631467385,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_RESPONSE_TO_DEXAMETHASONE_STIMULUS
GOBP_TEMPERATURE_HOMEOSTASIS,2.628741537,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TEMPERATURE_HOMEOSTASIS
GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,2.628741537,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS,2.627522573,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS
GOBP_PROTEIN_ACYLATION,2.619149248,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PROTEIN_ACYLATION
GOBP_NUCLEOTIDE_EXCISION_REPAIR,2.612163981,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NUCLEOTIDE_EXCISION_REPAIR
GOBP_ORGANELLE_DISASSEMBLY,2.608922138,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ORGANELLE_DISASSEMBLY
GOBP_CHONDROCYTE_PROLIFERATION,2.605690735,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CHONDROCYTE_PROLIFERATION
GOBP_CARDIAC_CONDUCTION_SYSTEM_DEVELOPMENT,2.602326584,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CARDIAC_CONDUCTION_SYSTEM_DEVELOPMENT
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION,2.602298018,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION
GOBP_HISTONE_H2A_MONOUBIQUITINATION,2.602298018,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HISTONE_H2A_MONOUBIQUITINATION
GOBP_MYELOID_DENDRITIC_CELL_DIFFERENTIATION,2.602298018,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MYELOID_DENDRITIC_CELL_DIFFERENTIATION
GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY,2.586104966,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY
GOBP_POSITIVE_REGULATION_OF_DNA_RECOMBINATION,2.581141847,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_DNA_RECOMBINATION
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME,2.579998303,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME
GOBP_SENSORY_ORGAN_MORPHOGENESIS,2.571438093,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SENSORY_ORGAN_MORPHOGENESIS
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY,2.545884981,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY
GOBP_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION,2.545884981,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION
GOBP_NEURAL_TUBE_FORMATION,2.53852641,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEURAL_TUBE_FORMATION
GOBP_DETECTION_OF_ABIOTIC_STIMULUS,2.527732706,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DETECTION_OF_ABIOTIC_STIMULUS
GOBP_NEPHRON_EPITHELIUM_DEVELOPMENT,2.527195413,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEPHRON_EPITHELIUM_DEVELOPMENT
GOBP_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,2.527195413,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT
GOBP_RESPONSE_TO_ANTIBIOTIC,2.526586603,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_ANTIBIOTIC
GOBP_REGULATION_OF_PHOSPHATASE_ACTIVITY,2.515521844,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_PHOSPHATASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_DNA_BINDING,2.508390792,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_DNA_BINDING
GOBP_INTRACELLULAR_PH_REDUCTION,2.508390792,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_INTRACELLULAR_PH_REDUCTION
GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,2.505640163,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION
GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,2.50538078,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION
GOBP_NEGATIVE_REGULATION_OF_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION,2.504814265,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION
GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS,2.504814265,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS
GOBP_RRNA_PROCESSING,2.500665264,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RRNA_PROCESSING
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,2.498761912,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL
GOBP_NEGATIVE_REGULATION_OF_HISTONE_MODIFICATION,2.496640647,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_HISTONE_MODIFICATION
GOBP_PROTEIN_NEDDYLATION,2.496640647,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PROTEIN_NEDDYLATION
GOBP_CARDIAC_ATRIUM_DEVELOPMENT,2.489923634,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CARDIAC_ATRIUM_DEVELOPMENT
GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION,2.46112285,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION,2.458083554,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION
GOBP_SKELETAL_MUSCLE_ADAPTATION,2.458083554,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SKELETAL_MUSCLE_ADAPTATION
GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE,2.458083554,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE
GOBP_POSITIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE,2.458083554,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,2.455960186,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,2.454809792,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_REGENERATION,2.45059756,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGENERATION
GOBP_POSITIVE_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION,2.443130919,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION
GOBP_REGULATION_OF_GOLGI_ORGANIZATION,2.443130919,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_GOLGI_ORGANIZATION
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEOLUS,2.443130919,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PROTEIN_LOCALIZATION_TO_NUCLEOLUS
GOBP_VITAMIN_D_METABOLIC_PROCESS,2.436320319,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_VITAMIN_D_METABOLIC_PROCESS
GOBP_ARGININE_METABOLIC_PROCESS,2.436320319,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ARGININE_METABOLIC_PROCESS
GOBP_REGULATION_OF_NOTCH_SIGNALING_PATHWAY,2.432737318,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_NOTCH_SIGNALING_PATHWAY
GOBP_ACUTE_PHASE_RESPONSE,2.43142254,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ACUTE_PHASE_RESPONSE
GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,2.43142254,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS
GOBP_PROTEIN_ACETYLATION,2.425745818,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PROTEIN_ACETYLATION
GOBP_ZYMOGEN_ACTIVATION,2.416062316,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ZYMOGEN_ACTIVATION
GOBP_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,2.414711204,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY
GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS,2.411980812,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS
GOBP_ADAPTIVE_THERMOGENESIS,2.407776553,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ADAPTIVE_THERMOGENESIS
GOBP_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_SIGNALING_PATHWAY,2.397443842,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_SIGNALING_PATHWAY
GOBP_REGULATION_OF_ALKALINE_PHOSPHATASE_ACTIVITY,2.397443842,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_ALKALINE_PHOSPHATASE_ACTIVITY
GOBP_TRYPTOPHAN_CATABOLIC_PROCESS,2.397443842,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TRYPTOPHAN_CATABOLIC_PROCESS
GOBP_VITAMIN_METABOLIC_PROCESS,2.394306695,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_VITAMIN_METABOLIC_PROCESS
GOBP_RESPIRATORY_SYSTEM_PROCESS,2.382888306,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPIRATORY_SYSTEM_PROCESS
GOBP_SENSORY_PERCEPTION,2.365667394,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SENSORY_PERCEPTION
GOBP_RNA_LOCALIZATION,2.365312451,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RNA_LOCALIZATION
GOBP_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS,2.365050537,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS
GOBP_STEM_CELL_PROLIFERATION,2.35964766,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_STEM_CELL_PROLIFERATION
GOBP_RUFFLE_ASSEMBLY,2.355460635,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RUFFLE_ASSEMBLY
GOBP_RIBOSOME_ASSOCIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,2.354088366,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RIBOSOME_ASSOCIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS
GOBP_POSITIVE_REGULATION_OF_ALKALINE_PHOSPHATASE_ACTIVITY,2.354088366,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_ALKALINE_PHOSPHATASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_LENS_FIBER_CELL_DIFFERENTIATION,2.354088366,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_LENS_FIBER_CELL_DIFFERENTIATION
GOBP_METANEPHRIC_NEPHRON_TUBULE_EPITHELIAL_CELL_DIFFERENTIATION,2.354088366,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_METANEPHRIC_NEPHRON_TUBULE_EPITHELIAL_CELL_DIFFERENTIATION
GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_1_SIGNALING_PATHWAY,2.354088366,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_1_SIGNALING_PATHWAY
GOBP_POSITIVE_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION,2.354088366,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE,2.347734813,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY,2.347627032,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY
GOBP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE,2.340009054,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE
GOBP_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS,2.338507879,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,2.338507879,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION
