GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000180228	2	179296141	179316239	21	7	91261	-0.1011	0.54026	PRKRA
ENSG00000204311	2	179316163	179326117	12	4	91261	1.4433	0.074472	DFNB59
ENSG00000079150	2	179328391	179343327	22	7	91261	0.49064	0.31184	FKBP7
ENSG00000116095	2	179345195	179381189	59	11	91261	0.79411	0.21357	PLEKHA3
ENSG00000155657	2	179390716	179695529	496	33	91261	1.9176	0.027578	TTN
ENSG00000163492	2	179694484	179914813	611	48	91261	0.5677	0.28512	CCDC141
ENSG00000187231	2	179966419	180129517	376	24	91261	0.74309	0.22871	SESTD1
ENSG00000144331	2	180306709	180726232	1529	96	91261	-0.083168	0.53314	ZNF385B
ENSG00000163510	2	180809603	180871840	165	15	91261	1.1886	0.1173	CWC22
ENSG00000170035	2	181831975	181941312	369	13	91261	-0.6995	0.75788	UBE2E3
ENSG00000115232	2	182321929	182400914	220	25	91261	0.66436	0.25323	ITGA4
ENSG00000188452	2	182401403	182545392	366	26	91261	1.3658	0.085997	CERKL
ENSG00000162992	2	182537815	182545603	8	3	91261	0.93311	0.17538	NEUROD1
ENSG00000138434	2	182756560	182795465	62	7	91261	1.5432	0.061385	SSFA2
ENSG00000150722	2	182818968	182996125	386	40	91261	0.95601	0.16953	PPP1R1C
ENSG00000115252	2	183004763	183387919	1114	46	91261	0.86224	0.19428	PDE1A
ENSG00000077232	2	183580999	183659191	137	10	91261	1.1642	0.12218	DNAJC10
ENSG00000162998	2	183698002	183731890	100	13	91261	-1.1439	0.87366	FRZB
ENSG00000061676	2	183773843	183903586	297	21	91261	-1.3484	0.91123	NCKAP1
ENSG00000162999	2	183943287	183964733	55	11	91261	0.17613	0.4301	DUSP19
ENSG00000163002	2	183982241	184026408	265	17	91261	-1.3201	0.9066	NUP35
ENSG00000170396	2	185463093	185804219	712	27	91261	-0.54826	0.70824	ZNF804A
ENSG00000188738	2	186603355	186698017	212	9	91261	0.18098	0.42819	FSIP2
ENSG00000065548	2	187350883	187374090	43	7	91261	0.74574	0.22791	ZC3H15
ENSG00000213953	2	187361840	187365393	9	3	91261	0.76224	0.22296	AC018867.1
ENSG00000138448	2	187454792	187545628	130	18	91261	1.0268	0.15227	ITGAV
ENSG00000144369	2	187558698	187630685	115	17	91261	0.72505	0.23421	FAM171B
ENSG00000163012	2	187692562	187713935	88	4	91261	2.9766	0.0014574	ZSWIM2
ENSG00000064989	2	188207856	188313187	236	21	91261	0.65893	0.25497	CALCRL
ENSG00000003436	2	188328957	188430487	224	31	91261	-0.17113	0.56794	TFPI
ENSG00000144366	2	189156396	189460653	618	27	91261	0.26777	0.39444	GULP1
ENSG00000174325	2	189598882	189654831	154	8	91261	-0.42108	0.66315	DIRC1
ENSG00000168542	2	189839046	189877472	81	11	91261	0.52081	0.30125	COL3A1
ENSG00000204262	2	189896622	190044605	408	15	91261	-1.3278	0.90787	COL5A2
ENSG00000115368	2	190306159	190340291	181	7	91261	-1.3153	0.9058	WDR75
ENSG00000138449	2	190425305	190448484	50	8	91261	0.25111	0.40087	SLC40A1
ENSG00000138381	2	190526111	190535557	21	5	91261	0.55458	0.28959	ASNSD1
ENSG00000151687	2	190539016	190625919	145	16	91261	0.10881	0.45668	ANKAR
ENSG00000128694	2	190611386	190627953	24	6	91261	0.2531	0.4001	OSGEPL1
ENSG00000128699	2	190635049	190649097	31	5	91261	-0.064133	0.52557	ORMDL1
ENSG00000231145	2	190642909	190643157	2	1	91261	0.24382	0.40369	AC013468.1
ENSG00000064933	2	190649107	190742355	185	20	91261	0.035156	0.48598	PMS1
ENSG00000187699	2	190744335	191068210	737	65	91261	0.71479	0.23737	C2orf88
ENSG00000138379	2	190920423	190927455	15	3	91261	0.88773	0.18734	MSTN
ENSG00000198130	2	191054461	191208919	423	12	91261	0.0054172	0.49784	HIBCH
ENSG00000151689	2	191208196	191236391	96	7	91261	0.16641	0.43392	INPP1
ENSG00000151690	2	191273081	191373931	233	20	91261	1.3968	0.08123	MFSD6
ENSG00000189362	2	191369068	191399448	63	9	91261	0.61819	0.26822	TMEM194B
ENSG00000138386	2	191511472	191557492	95	13	91261	1.7534	0.039766	NAB1
ENSG00000115419	2	191745553	191830278	111	14	91261	1.7693	0.038423	GLS
ENSG00000115415	2	191829084	191885686	133	21	91261	1.4621	0.071856	STAT1
ENSG00000138378	2	191894302	192016322	225	27	91261	-0.25459	0.60048	STAT4
ENSG00000128641	2	192109911	192290115	337	16	91261	1.3568	0.08742	MYO1B
ENSG00000173559	2	192542794	192561385	17	6	91261	-0.075689	0.53017	NABP1
ENSG00000168497	2	192699028	192711981	23	8	91261	0.71763	0.23649	SDPR
ENSG00000144339	2	192813769	193060435	506	54	91261	-1.3023	0.9036	TMEFF2
ENSG00000196950	2	196440701	196602426	313	26	91261	-1.0086	0.84341	SLC39A10
ENSG00000118997	2	196602427	196933536	660	26	91261	-0.61165	0.72961	DNAH7
ENSG00000081320	2	196998290	197041227	130	9	91261	-1.2579	0.89578	STK17B
ENSG00000138411	2	197059094	197458416	1081	60	91261	-1.343	0.91036	HECW2
ENSG00000144395	2	197504278	197628214	229	17	91261	1.4686	0.070975	CCDC150
ENSG00000119041	2	197627756	197664449	39	13	91261	0.84116	0.20013	GTF3C3
ENSG00000187944	2	197669726	197675000	5	2	91261	0.18025	0.42848	C2orf66
ENSG00000197121	2	197697728	197792520	155	10	91261	1.3167	0.093978	PGAP1
ENSG00000065413	2	197831741	198175897	950	60	91261	-0.57381	0.71695	ANKRD44
ENSG00000115524	2	198254508	198299815	46	7	91261	-1.6071	0.94598	SF3B1
ENSG00000115520	2	198318147	198340032	16	5	91261	-0.93376	0.82479	COQ10B
ENSG00000144381	2	198351305	198381461	34	6	91261	-1.7209	0.95736	HSPD1
ENSG00000115541	2	198364718	198368181	2	1	91261	-1.681	0.95362	HSPE1
ENSG00000270757	2	198365137	198415450	57	9	91261	-2.3122	0.98962	HSPE1-MOB4
ENSG00000115540	2	198380295	198418423	48	8	91261	-2.1301	0.98342	MOB4
ENSG00000162944	2	198432948	198540769	157	12	91261	-2.5351	0.99438	RFTN2
ENSG00000222017	2	198557830	198639547	101	9	91261	-1.5677	0.94152	AC011997.1
ENSG00000247626	2	198570087	198573113	1	1	91261	-0.42999	0.6664	MARS2
ENSG00000152430	2	198591603	198651486	73	9	91261	-1.1158	0.86776	BOLL
ENSG00000115896	2	198669426	199437305	1418	72	91261	-1.0678	0.8572	PLCL1
ENSG00000119042	2	200134223	200335989	243	21	91261	-0.042172	0.51682	SATB2
ENSG00000226124	2	200625267	200715896	177	27	91261	0.65107	0.2575	FTCDNL1
ENSG00000178074	2	200775979	200820658	92	14	91261	0.094195	0.46248	C2orf69
ENSG00000162971	2	200794698	200820459	50	10	91261	0.19691	0.42195	TYW5
ENSG00000162972	2	200820040	200873263	92	15	91261	0.24135	0.40464	C2orf47
ENSG00000196141	2	201170604	201346986	396	40	91261	-0.70489	0.75956	SPATS2L
ENSG00000155729	2	201353675	201384507	71	17	91261	0.30802	0.37903	KCTD18
ENSG00000163535	2	201374731	201448505	153	18	91261	0.36262	0.35845	SGOL2
ENSG00000138356	2	201450591	201541787	284	29	91261	-0.10725	0.54271	AOX1
ENSG00000082153	2	201675317	201688569	18	4	91261	-0.77124	0.77972	BZW1
ENSG00000013441	2	201717732	201729422	23	7	91261	-0.31756	0.62459	CLK1
ENSG00000240344	2	201735630	201754026	27	7	91261	-0.25879	0.6021	PPIL3
ENSG00000196290	2	201754050	201768655	13	3	91261	0.44144	0.32945	NIF3L1
ENSG00000115942	2	201773696	201828403	68	10	91261	-0.86134	0.80547	ORC2
ENSG00000155744	2	201838441	201936394	166	14	91261	-0.72325	0.76524	FAM126B
ENSG00000119013	2	201936156	201950473	33	5	91261	-0.87922	0.81036	NDUFB3
ENSG00000003402	2	201980827	202041410	129	15	91261	0.49778	0.30932	CFLAR
ENSG00000003400	2	202047604	202094129	70	8	91261	0.55315	0.29008	CASP10
ENSG00000064012	2	202098166	202152434	145	23	91261	0.55207	0.29045	CASP8
ENSG00000155749	2	202152994	202222121	167	18	91261	1.0853	0.1389	ALS2CR12
ENSG00000115993	2	202241930	202316302	138	13	91261	-0.032927	0.51313	TRAK2
ENSG00000082146	2	202252581	202345569	154	14	91261	0.080685	0.46785	STRADB
ENSG00000155754	2	202352148	202483901	391	20	91261	0.4143	0.33933	ALS2CR11
ENSG00000155755	2	202484907	202508293	35	10	91261	1.4462	0.074058	TMEM237
ENSG00000082126	2	202509593	202563417	144	35	91261	-0.41794	0.662	MPP4
ENSG00000003393	2	202565277	202645912	246	22	91261	0.42389	0.33582	ALS2
ENSG00000138395	2	202655184	202760273	235	40	91261	-0.56433	0.71373	CDK15
ENSG00000155760	2	202899310	202903160	6	3	91261	-0.011774	0.5047	FZD7
ENSG00000182329	2	202937978	203062585	306	26	91261	-0.80293	0.78899	AC079354.1
ENSG00000116030	2	203070903	203103331	67	11	91261	-0.27426	0.60806	SUMO1
ENSG00000055044	2	203130439	203168389	72	8	91261	1.4643	0.07155	NOP58
ENSG00000204217	2	203241659	203432474	320	19	91261	0.30486	0.38024	BMPR2
ENSG00000138439	2	203499901	203634480	163	21	91261	0.16788	0.43334	FAM117B
ENSG00000163596	2	203640690	203736708	183	13	91261	-0.094025	0.53746	ICA1L
ENSG00000138442	2	203739505	203879521	272	12	91261	0.20816	0.41755	WDR12
ENSG00000138380	2	203776937	203851786	140	10	91261	0.20276	0.41966	CARF
ENSG00000144426	2	203879602	204091101	291	20	91261	0.2632	0.3962	NBEAL1
ENSG00000119004	2	204103663	204163009	111	13	91261	0.3995	0.34476	CYP20A1
ENSG00000138443	2	204192942	204312446	170	25	91261	0.83749	0.20116	ABI2
ENSG00000173166	2	204259068	204400133	188	23	91261	1.2148	0.11223	RAPH1
ENSG00000178562	2	204571198	204603635	67	9	91261	-0.57406	0.71704	CD28
ENSG00000163599	2	204732509	204738683	6	3	91261	1.916	0.027685	CTLA4
ENSG00000163600	2	204801471	204826300	60	14	91261	-1.0039	0.8423	ICOS
ENSG00000116117	2	205410516	206484886	2488	130	91261	1.2874	0.098975	PARD3B
ENSG00000118257	2	206546714	206662857	261	47	91261	-1.0232	0.84689	NRP2
ENSG00000114933	2	206858445	206951027	194	20	91261	-0.9216	0.82163	INO80D
ENSG00000023228	2	206979541	207024327	124	10	91261	-0.51773	0.69767	NDUFS1
ENSG00000114942	2	207024309	207027652	2	1	91261	-0.33623	0.63165	EEF1B2
ENSG00000183671	2	207040040	207082771	107	15	91261	0.23401	0.40749	GPR1
ENSG00000204186	2	207139387	207179148	57	8	91261	-0.84143	0.79995	ZDBF2
ENSG00000114948	2	207308263	207485851	366	35	91261	-0.52546	0.70037	ADAM23
ENSG00000232125	2	207516345	207583120	264	26	91261	-0.58829	0.72183	DYTN
ENSG00000138400	2	207602487	207630271	113	9	91261	-0.57945	0.71886	MDH1B
ENSG00000118246	2	207630081	207657233	60	11	91261	-0.022049	0.5088	FASTKD2
ENSG00000144410	2	207804278	207834198	79	12	91261	-0.30598	0.62019	CPO
ENSG00000118263	2	207938861	208031991	280	36	91261	0.35815	0.36011	KLF7
ENSG00000118260	2	208394461	208468155	106	14	91261	-0.62933	0.73543	CREB1
ENSG00000144401	2	208445355	208490652	66	8	91261	-0.007319	0.50292	METTL21A
ENSG00000163249	2	208576264	208626563	119	7	91261	0.34085	0.36661	CCNYL1
ENSG00000163251	2	208627310	208634287	12	6	91261	0.70002	0.24196	FZD5
ENSG00000178385	2	208693027	208890284	332	33	91261	-1.8457	0.96753	PLEKHM3
ENSG00000118231	2	208986331	208989225	9	3	91261	0.94864	0.1714	CRYGD
ENSG00000163254	2	208992861	208994554	5	3	91261	0.5209	0.30122	CRYGC
ENSG00000182187	2	209007297	209010892	19	3	91261	0.16674	0.43379	CRYGB
ENSG00000168582	2	209025464	209028300	10	2	91261	0.033441	0.48666	CRYGA
ENSG00000188674	2	209030067	209054797	94	16	91261	-0.72751	0.76654	C2orf80
ENSG00000138413	2	209100951	209130798	61	12	91261	-0.5194	0.69826	IDH1
ENSG00000115020	2	209130991	209223475	255	10	91261	0.91363	0.18046	PIKFYVE
ENSG00000144407	2	209224438	209719227	1333	65	91261	-0.25148	0.59928	PTH2R
ENSG00000078018	2	210288782	210598842	696	28	91261	-0.25312	0.59991	MAP2
ENSG00000144406	2	210636717	210864024	441	29	91261	-0.49545	0.68986	UNC80
ENSG00000197713	2	210867289	210886300	20	6	91261	0.76011	0.22359	RPE
ENSG00000144445	2	210886147	211036107	113	22	91261	1.0127	0.1556	KANSL1L
ENSG00000115361	2	211052663	211090215	36	7	91261	0.53661	0.29577	ACADL
ENSG00000168530	2	211154874	211179914	51	7	91261	-0.39022	0.65181	MYL1
ENSG00000115365	2	211295973	211342376	107	9	91261	1.8391	0.032953	LANCL1
ENSG00000021826	2	211342406	211543831	474	38	91261	0.75653	0.22466	CPS1
ENSG00000178568	2	212240446	213403565	4101	182	91261	-1.6272	0.94816	ERBB4
ENSG00000030419	2	213864429	214017151	365	24	91261	1.4932	0.067688	IKZF2
ENSG00000144451	2	214149113	215275225	3064	78	91261	-0.30657	0.62041	SPAG16
ENSG00000174453	2	215275789	215443683	401	27	91261	-0.35727	0.63955	VWC2L
ENSG00000138376	2	215590370	215674428	437	32	91261	0.7789	0.21802	BARD1
ENSG00000144452	2	215796266	216003151	480	49	91261	0.75189	0.22606	ABCA12
ENSG00000138363	2	216176540	216214487	121	12	91261	0.9694	0.16617	ATIC
ENSG00000115414	2	216225163	216300895	226	22	91261	1.02	0.15386	FN1
ENSG00000118242	2	216809213	216898819	321	49	91261	-0.34449	0.63476	MREG
ENSG00000115425	2	216861052	216947678	249	34	91261	-1.0848	0.86099	PECR
ENSG00000163449	2	216946589	216967506	43	7	91261	0.01396	0.49443	TMEM169
ENSG00000079246	2	216972187	217071026	231	25	91261	-0.75304	0.77429	XRCC5
ENSG00000144583	2	217122588	217236750	278	28	91261	-0.22618	0.58947	MARCH4
ENSG00000138375	2	217277137	217347776	196	20	91261	-0.60742	0.72821	SMARCAL1
ENSG00000197756	2	217362912	217443903	216	33	91261	0.62703	0.26532	RPL37A
ENSG00000115457	2	217497551	217529159	57	16	91261	-0.65834	0.74484	IGFBP2
ENSG00000115461	2	217536828	217560248	58	9	91261	0.090026	0.46413	IGFBP5
ENSG00000118245	2	217724181	217724787	1	1	91261	-1.307	0.9044	TNP1
ENSG00000223874	2	217735495	217736362	2	1	91261	1.6838	0.046114	AC007557.1
ENSG00000231672	2	218148742	218621316	1327	63	91261	0.9225	0.17813	DIRC3
ENSG00000079308	2	218664512	218867718	553	78	91261	0.41813	0.33792	TNS1
ENSG00000188282	2	218899683	218955304	143	16	91261	0.50882	0.30544	RUFY4
ENSG00000180871	2	218990012	219001976	16	4	91261	0.89309	0.18591	CXCR2
ENSG00000163464	2	219027568	219031718	5	2	91261	0.40372	0.34321	CXCR1
ENSG00000163466	2	219081817	219119079	69	9	91261	0.018117	0.49277	ARPC2
ENSG00000179921	2	219124219	219128582	8	2	91261	0.18887	0.4251	GPBAR1
ENSG00000127837	2	219128850	219134980	9	3	91261	0.17134	0.43198	AAMP
ENSG00000127838	2	219135115	219211516	185	12	91261	0.33332	0.36945	PNKD
ENSG00000135926	2	219138915	219157309	51	4	91261	0.40105	0.34419	TMBIM1
ENSG00000158428	2	219221579	219232822	26	6	91261	0.20599	0.4184	C2orf62
ENSG00000018280	2	219246752	219261617	22	5	91261	0.062526	0.47507	SLC11A1
ENSG00000144579	2	219262979	219270664	23	6	91261	1.397	0.0812	CTDSP1
ENSG00000127831	2	219283815	219318018	42	6	91261	0.79611	0.21298	VIL1
ENSG00000135913	2	219314974	219433084	200	11	91261	0.9125	0.18075	USP37
ENSG00000144580	2	219433303	219461803	48	5	91261	0.9501	0.17103	RQCD1
ENSG00000115556	2	219472488	219501907	44	6	91261	0.49834	0.30912	PLCD4
ENSG00000115568	2	219502639	219524378	41	6	91261	0.69588	0.24325	ZNF142
ENSG00000074582	2	219523487	219528166	9	2	91261	-0.32838	0.62869	BCS1L
ENSG00000163481	2	219528587	219537134	21	3	91261	-0.63547	0.73744	RNF25
ENSG00000163482	2	219536749	219567439	36	6	91261	-0.15084	0.55995	STK36
ENSG00000135912	2	219575568	219620139	90	5	91261	1.3818	0.083513	TTLL4
ENSG00000135929	2	219646472	219680016	76	5	91261	1.8717	0.030626	CYP27A1
ENSG00000115592	2	219687106	219696809	10	4	91261	1.3651	0.086108	PRKAG3
ENSG00000115596	2	219724544	219738955	19	6	91261	0.44829	0.32697	WNT6
ENSG00000135925	2	219745085	219764303	22	6	91261	-0.42871	0.66593	WNT10A
ENSG00000171450	2	219824377	219826876	6	2	91261	-0.77114	0.77969	CDK5R2
ENSG00000163497	2	219845809	219850379	1	1	91261	0.0025066	0.499	FEV
ENSG00000163499	2	219854911	219858143	1	1	91261	0.33503	0.3688	CRYBA2
ENSG00000181378	2	219867568	219906249	50	9	91261	-1.0561	0.85454	CCDC108
ENSG00000163501	2	219919142	219925189	12	3	91261	-0.35051	0.63702	IHH
ENSG00000187736	2	219940039	220025587	165	13	91261	-0.66976	0.7485	NHEJ1
ENSG00000213901	2	219940051	220035549	178	13	91261	-0.77011	0.77938	SLC23A3
ENSG00000115649	2	220036619	220042828	19	4	91261	-0.038313	0.51528	CNPPD1
ENSG00000144567	2	220040947	220050201	27	5	91261	-0.37745	0.64708	FAM134A
ENSG00000158552	2	220059959	220074373	27	10	91261	0.62682	0.26539	ZFAND2B
ENSG00000115657	2	220074490	220083712	6	3	91261	2.106	0.0176	ABCB6
ENSG00000198925	2	220074494	220094439	26	6	91261	1.6183	0.052795	ATG9A
ENSG00000163516	2	220094479	220101391	15	4	91261	1.2709	0.10188	ANKZF1
ENSG00000163521	2	220101328	220110200	14	7	91261	2.1658	0.015164	GLB1L
ENSG00000115661	2	220110177	220115059	3	2	91261	0.35029	0.36306	STK16
ENSG00000127824	2	220114433	220142892	42	9	91261	1.464	0.0716	TUBA4A
ENSG00000135924	2	220143989	220151622	15	3	91261	-0.1783	0.57075	DNAJB2
ENSG00000054356	2	220154345	220174370	47	10	91261	-0.49676	0.69032	PTPRN
ENSG00000182698	2	220192131	220197899	20	2	91261	0.35484	0.36136	RESP18
ENSG00000123992	2	220238268	220264744	33	8	91261	-0.074397	0.52965	DNPEP
ENSG00000175084	2	220283099	220291461	16	4	91261	-0.64361	0.74009	DES
ENSG00000072195	2	220299568	220363009	103	17	91261	0.68674	0.24612	SPEG
ENSG00000144591	2	220363589	220371710	11	5	91261	-0.47777	0.68359	GMPPA
ENSG00000072182	2	220378892	220403494	48	9	91261	0.39254	0.34733	ASIC4
ENSG00000123989	2	220403669	220408509	11	2	91261	-1.3584	0.91282	CHPF
ENSG00000188760	2	220408385	220415317	12	3	91261	-0.93864	0.82604	TMEM198
ENSG00000124006	2	220415451	220436581	58	11	91261	-0.16009	0.5636	OBSL1
ENSG00000123999	2	220433884	220440435	18	7	91261	0.0059328	0.49763	INHA
ENSG00000144589	2	220462582	220481173	20	8	91261	0.33805	0.36766	STK11IP
ENSG00000114923	2	220492049	220506702	22	6	91261	0.10608	0.45776	SLC4A3
ENSG00000116106	2	222282747	222438922	388	35	91261	-0.53274	0.70289	EPHA4
ENSG00000135903	2	223064607	223163715	313	31	91261	-0.056417	0.5225	PAX3
ENSG00000163081	2	223162866	223169936	15	8	91261	-1.0121	0.84426	CCDC140
ENSG00000163082	2	223289236	223425667	353	50	91261	-1.0032	0.84213	SGPP2
ENSG00000116120	2	223435255	223521056	203	24	91261	0.27651	0.39108	FARSB
ENSG00000124003	2	223536505	223574649	122	21	91261	-0.11726	0.54667	MOGAT1
ENSG00000123983	2	223725652	223809357	227	19	91261	-0.28439	0.61194	ACSL3
ENSG00000152049	2	223916532	224063117	626	30	91261	-0.49472	0.6896	KCNE4
ENSG00000171951	2	224461658	224467221	4	2	91261	-0.61128	0.72949	SCG2
ENSG00000152056	2	224616403	224702744	341	26	91261	0.57674	0.28206	AP1S3
ENSG00000085449	2	224720433	224810104	210	11	91261	-0.21094	0.58353	WDFY1
ENSG00000135900	2	224822121	224832431	18	3	91261	-0.44641	0.67235	MRPL44
ENSG00000135919	2	224839829	224904036	212	27	91261	1.7105	0.04359	SERPINE2
ENSG00000124019	2	225243415	225266802	61	11	91261	-0.86892	0.80756	FAM124B
ENSG00000036257	2	225334867	225450110	268	15	91261	-1.8894	0.97058	CUL3
ENSG00000135905	2	225629807	225907162	686	50	91261	-0.20598	0.5816	DOCK10
ENSG00000144460	2	226265364	226518734	436	35	91261	-1.141	0.87306	NYAP2
ENSG00000169047	2	227596033	227664475	141	12	91261	1.146	0.12589	IRS1
ENSG00000144468	2	227700297	227863931	301	12	91261	0.11671	0.45354	RHBDD1
ENSG00000081052	2	227867427	228028829	449	41	91261	0.28018	0.38967	COL4A4
ENSG00000169031	2	228029281	228179508	744	62	91261	1.7692	0.038432	COL4A3
ENSG00000168958	2	228189867	228222550	86	10	91261	0.31075	0.37799	MFF
ENSG00000168955	2	228226872	228246711	79	17	91261	-0.02654	0.51059	TM4SF20
ENSG00000173744	2	228336868	228425930	282	18	91261	0.075486	0.46991	AGFG1
ENSG00000042304	2	228474806	228498036	175	18	91261	0.2989	0.38251	C2orf83
ENSG00000135917	2	228549926	228582728	115	17	91261	-0.64187	0.73952	SLC19A3
ENSG00000115009	2	228678558	228682272	2	1	91261	0.92708	0.17694	CCL20
ENSG00000123977	2	228735770	228789060	223	16	91261	0.6813	0.24784	DAW1
ENSG00000153820	2	228844666	229046361	660	25	91261	0.96077	0.16833	SPHKAP
ENSG00000153823	2	229715242	230136001	1289	103	91261	-1.8621	0.9687	PID1
ENSG00000187957	2	230222345	230579274	1201	96	91261	-0.38598	0.65025	DNER
ENSG00000153827	2	230628554	230787955	175	20	91261	0.54553	0.2927	TRIP12
ENSG00000153832	2	230787018	230877825	120	18	91261	0.47631	0.31693	FBXO36
ENSG00000163053	2	230899698	230933715	114	14	91261	1.0261	0.15242	SLC16A14
ENSG00000135899	2	231032009	231090444	219	19	91261	0.4354	0.33164	SP110
ENSG00000079263	2	231067826	231223762	439	30	91261	-0.14952	0.55943	SP140
ENSG00000185404	2	231191899	231268447	312	23	91261	-0.5357	0.70392	SP140L
ENSG00000067066	2	231280657	231408805	381	31	91261	-0.95372	0.82989	SP100
ENSG00000135932	2	231577560	231685790	166	17	91261	-0.53255	0.70283	CAB39
ENSG00000135916	2	231729354	231743963	60	11	91261	0.64318	0.26005	ITM2C
ENSG00000135898	2	231772033	231825781	159	28	91261	-0.77508	0.78085	GPR55
ENSG00000173699	2	231860836	231889770	160	13	91261	1.1961	0.11582	SPATA3
ENSG00000204128	2	231902205	231914434	32	7	91261	-1.6135	0.94668	C2orf72
ENSG00000173692	2	231921578	232037541	165	17	91261	-0.40392	0.65686	PSMD1
ENSG00000135914	2	231972944	231989832	16	5	91261	0.14395	0.44277	HTR2B
ENSG00000135931	2	232063260	232239548	388	33	91261	0.081289	0.46761	ARMC9
ENSG00000156966	2	232260254	232265875	9	3	91261	1.1688	0.12124	B3GNT7
ENSG00000233538	2	232316906	232317864	2	1	91261	-0.64714	0.74123	AC017104.2
ENSG00000115053	2	232318242	232348352	81	10	91261	2.1491	0.015812	NCL
ENSG00000171596	2	232387871	232395206	28	3	91261	1.1037	0.13487	NMUR1
ENSG00000177673	2	232457575	232458994	3	2	91261	-0.97384	0.83493	C2orf57
ENSG00000187514	2	232571605	232578251	27	6	91261	0.17084	0.43217	PTMA
ENSG00000156973	2	232597135	232650982	108	9	91261	-1.1756	0.88011	PDE6D
ENSG00000144524	2	232646381	232673963	45	7	91261	-0.34529	0.63506	COPS7B
ENSG00000163273	2	232786530	232791113	7	2	91261	-0.017398	0.50694	NPPC
ENSG00000144535	2	232825955	233209060	883	29	91261	0.69267	0.24426	DIS3L2
ENSG00000163283	2	233243244	233247599	11	5	91261	-0.080331	0.53201	ALPP
ENSG00000163286	2	233271553	233275424	8	2	91261	1.2961	0.097475	ALPPL2
ENSG00000163295	2	233320833	233324742	13	3	91261	0.88185	0.18893	ALPI
ENSG00000171551	2	233344537	233352538	29	12	91261	0.61654	0.26877	ECEL1
ENSG00000237412	2	233385173	233390422	18	6	91261	0.91856	0.17916	PRSS56
ENSG00000135902	2	233390703	233401377	28	6	91261	0.040601	0.48381	CHRND
ENSG00000196811	2	233404437	233411113	25	7	91261	0.27754	0.39068	CHRNG
ENSG00000221944	2	233412779	233415226	10	3	91261	-0.69601	0.75679	TIGD1
ENSG00000135930	2	233414762	233448354	96	7	91261	0.26219	0.39659	EIF4E2
ENSG00000115468	2	233470767	233547491	228	30	91261	-1.0772	0.85931	EFHD1
ENSG00000204120	2	233562009	233725285	378	18	91261	0.15963	0.43659	GIGYF2
ENSG00000115474	2	233631174	233641278	26	6	91261	-1.7668	0.96137	KCNJ13
ENSG00000182600	2	233721980	233743418	53	10	91261	1.3033	0.096232	C2orf82
ENSG00000066248	2	233743396	233877982	481	44	91261	-0.86079	0.80532	NGEF
ENSG00000222001	2	233877324	233880595	4	2	91261	-0.68505	0.75334	AC106876.2
ENSG00000115488	2	233897382	233899767	6	2	91261	-0.79203	0.78583	NEU2
ENSG00000168918	2	233924677	234116549	558	43	91261	-0.06924	0.5276	INPP5D
ENSG00000085978	2	234118697	234204320	240	25	91261	-0.78659	0.78424	ATG16L1
ENSG00000130561	2	234216462	234255701	130	17	91261	0.12583	0.44993	SAG
ENSG00000077044	2	234263153	234380750	220	23	91261	-0.93339	0.82469	DGKD
ENSG00000085982	2	234384166	234475428	158	8	91261	-1.7618	0.96095	USP40
ENSG00000241635	2	234526291	234681956	479	29	91261	-0.83322	0.79764	UGT1A8
ENSG00000242515	2	234545100	234681951	439	26	91261	-0.75771	0.77569	UGT1A10
ENSG00000241119	2	234580499	234681946	368	20	91261	-0.67802	0.75112	UGT1A9
ENSG00000244122	2	234590584	234681945	321	18	91261	-0.71181	0.76171	UGT1A7
ENSG00000167165	2	234600253	234681946	278	17	91261	-0.68729	0.75405	UGT1A6
ENSG00000240224	2	234621638	234681945	223	19	91261	-0.49293	0.68897	UGT1A5
ENSG00000244474	2	234627424	234681945	185	18	91261	-0.37875	0.64756	UGT1A4
ENSG00000243135	2	234637754	234681945	147	16	91261	-0.31296	0.62285	UGT1A3
ENSG00000242366	2	234668894	234681945	31	9	91261	-0.86283	0.80588	UGT1A1
ENSG00000185038	2	234684370	234742069	225	46	91261	0.7193	0.23598	MROH2A
ENSG00000123485	2	234742062	234763212	69	9	91261	0.68433	0.24688	HJURP
ENSG00000144481	2	234826043	234928166	313	47	91261	-0.15035	0.55975	TRPM8
ENSG00000072080	2	234959323	234985778	113	12	91261	-1.3409	0.91002	SPP2
ENSG00000188042	2	235401685	235405697	6	2	91261	-0.17206	0.5683	ARL4C
ENSG00000130147	2	235860617	235964358	296	37	91261	-0.70326	0.75905	SH3BP4
ENSG00000157985	2	236402733	237040444	1463	118	91261	-0.49935	0.69123	AGAP1
ENSG00000222007	2	236682499	236692031	35	3	91261	0.63328	0.26328	AC064874.1
ENSG00000168505	2	237073879	237077012	4	2	91261	-0.97711	0.83574	GBX2
ENSG00000182177	2	237102095	237173052	267	15	91261	-0.56716	0.7147	ASB18
ENSG00000132321	2	237232794	237416185	325	18	91261	-1.0177	0.84559	IQCA1
ENSG00000144476	2	237476430	237491001	28	6	91261	1.0557	0.14555	ACKR3
ENSG00000198612	2	237993955	238009109	22	7	91261	-0.15072	0.5599	COPS8
ENSG00000224132	2	238165734	238166319	1	1	91261	0.90173	0.1836	AC112715.2
ENSG00000163359	2	238232646	238323018	218	35	91261	-0.21795	0.58626	COL6A3
