# MEAN_SAMPLE_SIZE = 91261
# TOTAL_GENES = 18735
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:hoelzel_nf...2         SET     121     0.038183    0.0030587     0.078566      0.31349 Curated_gene_sets:hoelzel_nf1_targets_up
Curated_gene_sets:hoelzel_nf...1         SET     106     0.040007    0.0030009     0.090735      0.32964 Curated_gene_sets:hoelzel_nf1_targets_dn
Curated_gene_sets:demagalhae...2         SET      50      0.20087     0.010364      0.11084     0.034975 Curated_gene_sets:demagalhaes_aging_up
Curated_gene_sets:demagalhae...1         SET      14    -0.010734  -0.00029331      0.19479      0.52197 Curated_gene_sets:demagalhaes_aging_dn
Curated_gene_sets:dutertre_e...4         SET     217     0.067114    0.0071812     0.053361      0.10425 Curated_gene_sets:dutertre_estradiol_response_6hr_up
Curated_gene_sets:dutertre_e...3         SET      89      0.07345    0.0050505     0.090173      0.20767 Curated_gene_sets:dutertre_estradiol_response_6hr_dn
Curated_gene_sets:dutertre_e...2         SET     308     0.048351    0.0061484     0.044603      0.13919 Curated_gene_sets:dutertre_estradiol_response_24hr_up
Curated_gene_sets:dutertre_e...1         SET     484     0.029553    0.0046885     0.039544      0.22743 Curated_gene_sets:dutertre_estradiol_response_24hr_dn
Curated_gene_sets:figueroa_a...2         SET     108     0.066402    0.0050271     0.077229      0.19495 Curated_gene_sets:figueroa_aml_methylation_cluster_1_up
Curated_gene_sets:figueroa_a...1         SET      44    -0.019288  -0.00093367      0.12435      0.56163 Curated_gene_sets:figueroa_aml_methylation_cluster_1_dn
Curated_gene_sets:figueroa_a...4         SET      47      0.26233     0.013123       0.1153     0.011455 Curated_gene_sets:figueroa_aml_methylation_cluster_2_up
Curated_gene_sets:figueroa_a...3         SET       8      -0.2183   -0.0045102      0.28962       0.7745 Curated_gene_sets:figueroa_aml_methylation_cluster_2_dn
Curated_gene_sets:figueroa_a...6         SET     155      0.15952      0.01445     0.065042    0.0070959 Curated_gene_sets:figueroa_aml_methylation_cluster_3_up
Curated_gene_sets:figueroa_a...5         SET      38    0.0089031   0.00040057      0.12718       0.4721 Curated_gene_sets:figueroa_aml_methylation_cluster_3_dn
Curated_gene_sets:figueroa_a...8         SET     103      0.15978     0.011815     0.078703     0.021178 Curated_gene_sets:figueroa_aml_methylation_cluster_4_up
Curated_gene_sets:figueroa_a...7         SET      15     -0.13376   -0.0037834      0.23396      0.71624 Curated_gene_sets:figueroa_aml_methylation_cluster_4_dn
Curated_gene_sets:figueroa_a...10        SET      12     0.017811   0.00045063      0.21761      0.46738 Curated_gene_sets:figueroa_aml_methylation_cluster_5_up
Curated_gene_sets:figueroa_a...9         SET      42      0.13375    0.0063258      0.13212      0.15569 Curated_gene_sets:figueroa_aml_methylation_cluster_5_dn
Curated_gene_sets:figueroa_a...12        SET     131      0.13824      0.01152     0.071271     0.026217 Curated_gene_sets:figueroa_aml_methylation_cluster_6_up
Curated_gene_sets:figueroa_a...11        SET      31     0.015869   0.00064498      0.14785      0.45726 Curated_gene_sets:figueroa_aml_methylation_cluster_6_dn
Curated_gene_sets:figueroa_a...14        SET     108      0.10939     0.008282     0.079595      0.08467 Curated_gene_sets:figueroa_aml_methylation_cluster_7_up
Curated_gene_sets:figueroa_a...13        SET       5      0.37889    0.0061891      0.41968      0.18332 Curated_gene_sets:figueroa_aml_methylation_cluster_7_dn
Curated_gene_sets:wang_class...          SET      28     -0.19643   -0.0075885      0.15851      0.89237 Curated_gene_sets:wang_classic_adipogenic_targets_of_pparg
Curated_gene_sets:wang_adipo...          SET      24      0.19966    0.0071416      0.15455     0.098216 Curated_gene_sets:wang_adipogenic_genes_repressed_by_sirt1
Curated_gene_sets:pangas_tum...2         SET     125     -0.17099     -0.01392     0.074239      0.98936 Curated_gene_sets:pangas_tumor_suppression_by_smad1_and_smad5_up
Curated_gene_sets:pangas_tum...1         SET     137    -0.068966    -0.005876     0.072895      0.82794 Curated_gene_sets:pangas_tumor_suppression_by_smad1_and_smad5_dn
Curated_gene_sets:tsutsumi_f...          SET       8      0.31932    0.0065973      0.31048      0.15187 Curated_gene_sets:tsutsumi_fbxw8_targets
Curated_gene_sets:li_dcp2_bo...          SET      79     0.022147    0.0014351     0.083438      0.39534 Curated_gene_sets:li_dcp2_bound_mrna
Curated_gene_sets:wagschal_e...          SET      13     -0.20645   -0.0054366      0.23755       0.8076 Curated_gene_sets:wagschal_ehmt2_targets_up
Curated_gene_sets:subtil_pro...          SET      33      0.14502    0.0060812      0.14118      0.15218 Curated_gene_sets:subtil_progestin_targets
Curated_gene_sets:ohguchi_li...2         SET      43     0.050141    0.0023995      0.13247      0.35253 Curated_gene_sets:ohguchi_liver_hnf4a_targets_up
Curated_gene_sets:ohguchi_li...1         SET     155     -0.10421   -0.0094396      0.06614      0.94243 Curated_gene_sets:ohguchi_liver_hnf4a_targets_dn
Curated_gene_sets:gabriely_m...          SET     275   0.00022972   2.7627e-05     0.051244      0.49821 Curated_gene_sets:gabriely_mir21_targets
Curated_gene_sets:thillainad...2         SET      40      0.15333    0.0070776      0.12502      0.11002 Curated_gene_sets:thillainadesan_znf217_targets_up
Curated_gene_sets:thillainad...1         SET       8      0.12007    0.0024807      0.28269      0.33551 Curated_gene_sets:thillainadesan_znf217_targets_dn
Curated_gene_sets:phesse_tar...2         SET      17     -0.34519    -0.010394      0.21927      0.94228 Curated_gene_sets:phesse_targets_of_apc_and_mbd2_up
Curated_gene_sets:phesse_tar...1         SET      10     0.015655    0.0003616      0.27433      0.47725 Curated_gene_sets:phesse_targets_of_apc_and_mbd2_dn
Curated_gene_sets:chyla_cbfa...2         SET     359     0.017423    0.0023887     0.044671      0.34826 Curated_gene_sets:chyla_cbfa2t3_targets_up
Curated_gene_sets:chyla_cbfa...1         SET     227   0.00076559   8.3762e-05     0.052405      0.49417 Curated_gene_sets:chyla_cbfa2t3_targets_dn
Curated_gene_sets:fukushima_...          SET      14      0.30594    0.0083603      0.22656     0.088456 Curated_gene_sets:fukushima_tnfsf11_targets
Curated_gene_sets:card_mir30...          SET      75    -0.083115   -0.0052484     0.096792      0.80474 Curated_gene_sets:card_mir302a_targets
Curated_gene_sets:wierenga_s...4         SET     191     0.092733    0.0093156      0.05953     0.059657 Curated_gene_sets:wierenga_stat5a_targets_up
Curated_gene_sets:wierenga_s...1         SET     179   -0.0084591  -0.00082291     0.060844      0.55529 Curated_gene_sets:wierenga_stat5a_targets_dn
Curated_gene_sets:wierenga_s...2         SET     118   -0.0024534   -0.0001941     0.074429      0.51315 Curated_gene_sets:wierenga_stat5a_targets_group1
Curated_gene_sets:wierenga_s...3         SET      53      0.22614     0.012011      0.11346     0.023131 Curated_gene_sets:wierenga_stat5a_targets_group2
Curated_gene_sets:wierenga_p...          SET      42     0.018953   0.00089638      0.10709      0.42976 Curated_gene_sets:wierenga_pml_interactome
Curated_gene_sets:acosta_pro...2         SET      82    -0.049908   -0.0032947     0.085112      0.72119 Curated_gene_sets:acosta_proliferation_independent_myc_targets_up
Curated_gene_sets:acosta_pro...1         SET     110     -0.14139    -0.010802     0.075995      0.96858 Curated_gene_sets:acosta_proliferation_independent_myc_targets_dn
Curated_gene_sets:kang_ar_ta...2         SET      16     0.050226    0.0014672      0.22982       0.4135 Curated_gene_sets:kang_ar_targets_up
Curated_gene_sets:kang_ar_ta...1         SET      18     -0.21648    -0.006707      0.19472      0.86687 Curated_gene_sets:kang_ar_targets_dn
Curated_gene_sets:pilon_klf1...2         SET     453    0.0079949    0.0012281     0.038209      0.41713 Curated_gene_sets:pilon_klf1_targets_up
Curated_gene_sets:pilon_klf1...1         SET    1916    0.0060321    0.0018278     0.019367      0.37773 Curated_gene_sets:pilon_klf1_targets_dn
Curated_gene_sets:bhat_esr1_...2         SET     202     0.089569    0.0092505     0.058767     0.063746 Curated_gene_sets:bhat_esr1_targets_not_via_akt1_up
Curated_gene_sets:bhat_esr1_...1         SET      88     0.054047    0.0036955     0.092738      0.28002 Curated_gene_sets:bhat_esr1_targets_not_via_akt1_dn
Curated_gene_sets:bhat_esr1_...4         SET     272     0.038986    0.0046634     0.050092      0.21821 Curated_gene_sets:bhat_esr1_targets_via_akt1_up
Curated_gene_sets:bhat_esr1_...3         SET      83   0.00081265   5.3971e-05     0.094955      0.49659 Curated_gene_sets:bhat_esr1_targets_via_akt1_dn
Curated_gene_sets:johnstone_...2         SET       6      0.16323    0.0029207      0.34745      0.31925 Curated_gene_sets:johnstone_parvb_targets_1_up
Curated_gene_sets:johnstone_...1         SET      60    -0.085297   -0.0048194      0.11158       0.7777 Curated_gene_sets:johnstone_parvb_targets_1_dn
Curated_gene_sets:johnstone_...4         SET     133     0.034154    0.0028675     0.068945      0.31017 Curated_gene_sets:johnstone_parvb_targets_2_up
Curated_gene_sets:johnstone_...3         SET     331     -0.05518   -0.0072695     0.046572      0.88195 Curated_gene_sets:johnstone_parvb_targets_2_dn
Curated_gene_sets:johnstone_...6         SET     410    -0.044272   -0.0064775      0.04112      0.85918 Curated_gene_sets:johnstone_parvb_targets_3_up
Curated_gene_sets:johnstone_...5         SET     802    -0.024443   -0.0049479     0.027957      0.80901 Curated_gene_sets:johnstone_parvb_targets_3_dn
Curated_gene_sets:bruins_uvc...4         SET     828      0.04786     0.009837     0.028983     0.049345 Curated_gene_sets:bruins_uvc_response_via_tp53_group_a
Curated_gene_sets:bruins_uvc...5         SET     505     0.010841    0.0017558      0.03497      0.37827 Curated_gene_sets:bruins_uvc_response_via_tp53_group_b
Curated_gene_sets:bruins_uvc...6         SET      87     -0.10004   -0.0068016     0.083155      0.88552 Curated_gene_sets:bruins_uvc_response_via_tp53_group_c
Curated_gene_sets:bruins_uvc...7         SET     253     0.074306    0.0085766     0.050208     0.069452 Curated_gene_sets:bruins_uvc_response_via_tp53_group_d
Curated_gene_sets:bruins_uvc...2         SET    1058     0.040891    0.0094391     0.024939     0.050553 Curated_gene_sets:bruins_uvc_response_late
Curated_gene_sets:bruins_uvc...1         SET     292    -0.024074   -0.0029821     0.046442       0.6979 Curated_gene_sets:bruins_uvc_response_early_late
Curated_gene_sets:bruins_uvc...3         SET      93     0.065389    0.0045957     0.082454      0.21388 Curated_gene_sets:bruins_uvc_response_middle
Curated_gene_sets:ceribelli_...2         SET      34    0.0043617   0.00018565      0.13885      0.48747 Curated_gene_sets:ceribelli_promoters_inactive_and_bound_by_nfy
Curated_gene_sets:ceribelli_...1         SET      31       0.1142    0.0046417      0.14416      0.21413 Curated_gene_sets:ceribelli_genes_inactive_and_bound_by_nfy
Curated_gene_sets:miyagawa_t...2         SET     247       0.0455      0.00519     0.054713      0.20282 Curated_gene_sets:miyagawa_targets_of_ewsr1_ets_fusions_up
Curated_gene_sets:miyagawa_t...1         SET     219     0.044929    0.0048293     0.059649      0.22566 Curated_gene_sets:miyagawa_targets_of_ewsr1_ets_fusions_dn
Curated_gene_sets:ivanovska_...          SET      85      -0.1527    -0.010263     0.083101      0.96693 Curated_gene_sets:ivanovska_mir106b_targets
Curated_gene_sets:kim_glis2_...2         SET      77     -0.10015   -0.0064076     0.098561      0.84521 Curated_gene_sets:kim_glis2_targets_up
Curated_gene_sets:kim_glis2_...1         SET       6      -0.1078   -0.0019289      0.31145      0.63537 Curated_gene_sets:kim_glis2_targets_dn
Curated_gene_sets:mikhaylova...2         SET       7      -0.1164   -0.0022496       0.2999      0.65104 Curated_gene_sets:mikhaylova_oxidative_stress_response_via_vhl_up
Curated_gene_sets:mikhaylova...1         SET       6     0.027454   0.00049125      0.29607      0.46306 Curated_gene_sets:mikhaylova_oxidative_stress_response_via_vhl_dn
Curated_gene_sets:steger_adi...2         SET      21     0.092519    0.0030959      0.18583      0.30929 Curated_gene_sets:steger_adipogenesis_up
Curated_gene_sets:steger_adi...1         SET      23     -0.01258  -0.00044053      0.17889      0.52803 Curated_gene_sets:steger_adipogenesis_dn
Curated_gene_sets:zhu_skil_t...2         SET      20     -0.13479   -0.0044018      0.20352       0.7461 Curated_gene_sets:zhu_skil_targets_up
Curated_gene_sets:zhu_skil_t...1         SET       9    -0.062219   -0.0013634      0.29094      0.58467 Curated_gene_sets:zhu_skil_targets_dn
Curated_gene_sets:kim_pten_t...2         SET      17     -0.14873   -0.0044783      0.19285      0.77971 Curated_gene_sets:kim_pten_targets_up
Curated_gene_sets:kim_pten_t...1         SET       5       0.1578    0.0025776      0.39897      0.34624 Curated_gene_sets:kim_pten_targets_dn
Curated_gene_sets:ishida_tar...          SET       6    -0.051995  -0.00093037      0.30834      0.56696 Curated_gene_sets:ishida_targets_of_syt_ssx_fusions
Curated_gene_sets:maekawa_at...          SET      20    -0.085291   -0.0027853      0.17629      0.68574 Curated_gene_sets:maekawa_atf2_targets
Curated_gene_sets:issaeva_ml...          SET      55      0.19326     0.010456       0.1191      0.05235 Curated_gene_sets:issaeva_mll2_targets
Curated_gene_sets:linsley_mi...          SET     204     -0.10501    -0.010898     0.054296      0.97344 Curated_gene_sets:linsley_mir16_targets
Curated_gene_sets:cheng_taf7...          SET       6     -0.19436   -0.0034778      0.32455      0.72536 Curated_gene_sets:cheng_taf7l_targets
Curated_gene_sets:changolkar...2         SET      46     -0.14665   -0.0072579      0.11811       0.8928 Curated_gene_sets:changolkar_h2afy_targets_up
Curated_gene_sets:changolkar...1         SET      39     0.016441   0.00074936      0.12465      0.44754 Curated_gene_sets:changolkar_h2afy_targets_dn
Curated_gene_sets:pasini_suz...2         SET      98     0.061676    0.0044492     0.076836      0.21108 Curated_gene_sets:pasini_suz12_targets_up
Curated_gene_sets:pasini_suz...1         SET     294  -0.00066912  -8.3163e-05     0.049587      0.50538 Curated_gene_sets:pasini_suz12_targets_dn
Curated_gene_sets:bakker_fox...2         SET      51     -0.10315   -0.0053747      0.10878      0.82849 Curated_gene_sets:bakker_foxo3_targets_up
Curated_gene_sets:bakker_fox...1         SET     164     0.061078    0.0056896     0.061255      0.15936 Curated_gene_sets:bakker_foxo3_targets_dn
Curated_gene_sets:berger_mbd...          SET       5     -0.48177   -0.0078696      0.40644      0.88205 Curated_gene_sets:berger_mbd2_targets
Curated_gene_sets:vandesluis...1         SET      13      0.18911    0.0049798      0.24464      0.21976 Curated_gene_sets:vandesluis_commd1_targets_group_2_up
Curated_gene_sets:vandesluis...3         SET      74    -0.075508   -0.0047362     0.089296       0.8011 Curated_gene_sets:vandesluis_commd1_targets_group_3_up
Curated_gene_sets:vandesluis...2         SET      32     -0.34243    -0.014141      0.15134      0.98816 Curated_gene_sets:vandesluis_commd1_targets_group_3_dn
Curated_gene_sets:vandesluis...5         SET      14     -0.32777   -0.0089569      0.19481      0.95375 Curated_gene_sets:vandesluis_commd1_targets_group_4_up
Curated_gene_sets:vandesluis...4         SET      16    0.0045044   0.00013158      0.21225      0.49153 Curated_gene_sets:vandesluis_commd1_targets_group_4_dn
Curated_gene_sets:vandesluis...7         SET       5      0.27835    0.0045468      0.38646      0.23568 Curated_gene_sets:vandesluis_normal_embryos_up
Curated_gene_sets:vandesluis...6         SET      16      0.48001     0.014022      0.21399     0.012448 Curated_gene_sets:vandesluis_normal_embryos_dn
Curated_gene_sets:sumi_hnf4a...          SET      29     -0.25683    -0.010097      0.15439      0.95188 Curated_gene_sets:sumi_hnf4a_targets
Curated_gene_sets:wang_nfkb_...          SET      22      0.29976     0.010266      0.17694     0.045128 Curated_gene_sets:wang_nfkb_targets
Curated_gene_sets:wang_tnf_t...          SET      24      0.19372    0.0069292      0.16818       0.1247 Curated_gene_sets:wang_tnf_targets
Curated_gene_sets:azare_neop...2         SET     116     0.030197    0.0023688     0.077912      0.34917 Curated_gene_sets:azare_neoplastic_transformation_by_stat3_up
Curated_gene_sets:azare_neop...1         SET      18      0.52439     0.016247      0.18579    0.0023857 Curated_gene_sets:azare_neoplastic_transformation_by_stat3_dn
Curated_gene_sets:azare_stat...          SET      23    -0.052174    -0.001827      0.18914      0.60867 Curated_gene_sets:azare_stat3_targets
Curated_gene_sets:delpuech_f...2         SET      61      0.13542    0.0077146      0.10616      0.10106 Curated_gene_sets:delpuech_foxo3_targets_up
Curated_gene_sets:delpuech_f...1         SET      37      0.19932    0.0088494      0.12354     0.053342 Curated_gene_sets:delpuech_foxo3_targets_dn
Curated_gene_sets:wiederscha...          SET      57     0.013345   0.00073496      0.10577       0.4498 Curated_gene_sets:wiederschain_targets_of_bmi1_and_pcgf2
Curated_gene_sets:kasler_hda...2         SET     188     0.055317    0.0055136     0.058631      0.17272 Curated_gene_sets:kasler_hdac7_targets_1_up
Curated_gene_sets:kasler_hda...1         SET      16      0.15859    0.0046327      0.20568      0.22035 Curated_gene_sets:kasler_hdac7_targets_1_dn
Curated_gene_sets:kasler_hda...4         SET       6     -0.17637   -0.0031558      0.39992      0.67039 Curated_gene_sets:kasler_hdac7_targets_2_up
Curated_gene_sets:kasler_hda...3         SET      30     0.007042   0.00028157      0.15092      0.48139 Curated_gene_sets:kasler_hdac7_targets_2_dn
Curated_gene_sets:dormoy_ela...          SET      17     0.095385     0.002872      0.18979      0.30763 Curated_gene_sets:dormoy_elavl1_targets
Curated_gene_sets:lee_bmp2_t...2         SET     731     0.021779    0.0042174     0.030998      0.24116 Curated_gene_sets:lee_bmp2_targets_up
Curated_gene_sets:lee_bmp2_t...1         SET     844     0.065262     0.013537     0.027364    0.0085453 Curated_gene_sets:lee_bmp2_targets_dn
Curated_gene_sets:bilanges_s...3         SET      68      -0.1362    -0.008191     0.095013      0.92413 Curated_gene_sets:bilanges_serum_sensitive_genes
Curated_gene_sets:bilanges_s...1         SET      48    -0.079768   -0.0040325      0.10542      0.77536 Curated_gene_sets:bilanges_serum_and_rapamycin_sensitive_genes
Curated_gene_sets:bilanges_r...1         SET      35     0.058138    0.0025106      0.12171      0.31644 Curated_gene_sets:bilanges_rapamycin_sensitive_genes
Curated_gene_sets:bilanges_r...2         SET      61  -0.00023599  -1.3444e-05      0.10342      0.50091 Curated_gene_sets:bilanges_rapamycin_sensitive_via_tsc1_and_tsc2
Curated_gene_sets:bilanges_s...4         SET      20      0.12062    0.0039391      0.17483      0.24512 Curated_gene_sets:bilanges_serum_sensitive_via_tsc1
Curated_gene_sets:bilanges_s...5         SET      29     0.081648    0.0032099      0.15275      0.29649 Curated_gene_sets:bilanges_serum_sensitive_via_tsc2
Curated_gene_sets:bilanges_s...2         SET      26    -0.064103   -0.0023864      0.15076      0.66465 Curated_gene_sets:bilanges_serum_response_translation
Curated_gene_sets:kim_tial1_...          SET      31     -0.14137   -0.0057461      0.14397      0.83693 Curated_gene_sets:kim_tial1_targets
Curated_gene_sets:duan_prdm5...          SET      72      0.10924    0.0067593     0.096961      0.12995 Curated_gene_sets:duan_prdm5_targets
Curated_gene_sets:dalessio_t...          SET      19     -0.11695   -0.0037224      0.18492      0.73643 Curated_gene_sets:dalessio_tsa_response
Curated_gene_sets:fevr_ctnnb...2         SET     673   -0.0065154   -0.0012125     0.031204       0.5827 Curated_gene_sets:fevr_ctnnb1_targets_up
Curated_gene_sets:fevr_ctnnb...1         SET     526     0.017703    0.0029244     0.034191      0.30231 Curated_gene_sets:fevr_ctnnb1_targets_dn
Curated_gene_sets:fardin_hyp...2         SET       7      0.21675     0.004189       0.2547      0.19739 Curated_gene_sets:fardin_hypoxia_9
Curated_gene_sets:fardin_hyp...1         SET      30      0.10285    0.0041125      0.13513       0.2233 Curated_gene_sets:fardin_hypoxia_11
Curated_gene_sets:torchia_ta...3         SET      18     0.071812    0.0022249       0.1875      0.35086 Curated_gene_sets:torchia_targets_of_ewsr1_fli1_fusion_top20_up
Curated_gene_sets:torchia_ta...2         SET      18     0.095352    0.0029542      0.20451      0.32052 Curated_gene_sets:torchia_targets_of_ewsr1_fli1_fusion_top20_dn
Curated_gene_sets:torchia_ta...4         SET     250     0.080757    0.0092666     0.051483     0.058378 Curated_gene_sets:torchia_targets_of_ewsr1_fli1_fusion_up
Curated_gene_sets:torchia_ta...1         SET     298      0.12914     0.016158     0.049759    0.0047288 Curated_gene_sets:torchia_targets_of_ewsr1_fli1_fusion_dn
Curated_gene_sets:winzen_deg...          SET      98      0.19183     0.013838     0.090826     0.017349 Curated_gene_sets:winzen_degraded_via_khsrp
Curated_gene_sets:vanloo_sp3...2         SET       8      0.22222    0.0045912      0.27214      0.20709 Curated_gene_sets:vanloo_sp3_targets_up
Curated_gene_sets:vanloo_sp3...1         SET      85      0.12899    0.0086686     0.083147     0.060424 Curated_gene_sets:vanloo_sp3_targets_dn
Curated_gene_sets:yuan_znf14...          SET      20    -0.040779   -0.0013317      0.15755      0.60211 Curated_gene_sets:yuan_znf143_partners
Curated_gene_sets:koinuma_ta...          SET     808     0.017039    0.0034616     0.029594      0.28239 Curated_gene_sets:koinuma_targets_of_smad2_or_smad3
Curated_gene_sets:raffel_veg...2         SET       9     -0.11185    -0.002451      0.32192      0.63587 Curated_gene_sets:raffel_vegfa_targets_up
Curated_gene_sets:raffel_veg...1         SET       5      0.19296     0.003152      0.42811      0.32609 Curated_gene_sets:raffel_vegfa_targets_dn
Curated_gene_sets:terao_aox4...2         SET      29      0.11604     0.004562      0.14792      0.21638 Curated_gene_sets:terao_aox4_targets_hg_up
Curated_gene_sets:terao_aox4...1         SET       5    -0.082241   -0.0013434      0.38026      0.58561 Curated_gene_sets:terao_aox4_targets_hg_dn
Curated_gene_sets:terao_aox4...4         SET      25      0.13539    0.0049425      0.14125      0.16892 Curated_gene_sets:terao_aox4_targets_skin_up
Curated_gene_sets:terao_aox4...3         SET      23   -0.0058337  -0.00020428      0.15374      0.51513 Curated_gene_sets:terao_aox4_targets_skin_dn
Curated_gene_sets:purbey_tar...2         SET      73     -0.10777   -0.0067144     0.094527      0.87288 Curated_gene_sets:purbey_targets_of_ctbp1_and_satb1_up
Curated_gene_sets:purbey_tar...1         SET     152     0.029848    0.0026776      0.06567      0.32473 Curated_gene_sets:purbey_targets_of_ctbp1_and_satb1_dn
Curated_gene_sets:purbey_tar...4         SET     277     0.036827    0.0044448     0.047381      0.21851 Curated_gene_sets:purbey_targets_of_ctbp1_not_satb1_up
Curated_gene_sets:purbey_tar...3         SET     374     -0.03711   -0.0051907     0.041183      0.81622 Curated_gene_sets:purbey_targets_of_ctbp1_not_satb1_dn
Curated_gene_sets:gobert_oli...2         SET     548     0.015533    0.0026174     0.033203      0.31996 Curated_gene_sets:gobert_oligodendrocyte_differentiation_up
Curated_gene_sets:gobert_oli...1         SET    1022     0.047772     0.010849     0.025862     0.032369 Curated_gene_sets:gobert_oligodendrocyte_differentiation_dn
Curated_gene_sets:gobert_cor...          SET      41    -0.057729   -0.0026977      0.12548      0.67727 Curated_gene_sets:gobert_core_oligodendrocyte_differentiation
Curated_gene_sets:wacker_hyp...          SET      13     0.045362    0.0011945      0.22349      0.41958 Curated_gene_sets:wacker_hypoxia_targets_of_vhl
Curated_gene_sets:ikeda_mir1...4         SET      52     -0.20016    -0.010531      0.12516       0.9451 Curated_gene_sets:ikeda_mir1_targets_up
Curated_gene_sets:ikeda_mir1...3         SET       5    -0.053408  -0.00087241      0.41708      0.55095 Curated_gene_sets:ikeda_mir1_targets_dn
Curated_gene_sets:ikeda_mir1...2         SET      41      0.17037    0.0079616      0.12325     0.083437 Curated_gene_sets:ikeda_mir133_targets_up
Curated_gene_sets:ikeda_mir1...1         SET       6      0.80631     0.014428      0.38558     0.018263 Curated_gene_sets:ikeda_mir133_targets_dn
Curated_gene_sets:ikeda_mir3...2         SET     110    -0.018714   -0.0014298     0.082971      0.58922 Curated_gene_sets:ikeda_mir30_targets_up
Curated_gene_sets:ikeda_mir3...1         SET      23      -0.1174    -0.004111       0.1913      0.73029 Curated_gene_sets:ikeda_mir30_targets_dn
Curated_gene_sets:kuwano_rna...          SET       7     -0.52357    -0.010119      0.36165      0.92614 Curated_gene_sets:kuwano_rna_stabilized_by_no
Curated_gene_sets:liu_topbp1...          SET      14     -0.25401   -0.0069414       0.2074      0.88966 Curated_gene_sets:liu_topbp1_targets
Curated_gene_sets:schmidt_po...2         SET      25     -0.18965   -0.0069234      0.16387      0.87642 Curated_gene_sets:schmidt_por_targets_in_limb_bud_up
Curated_gene_sets:schmidt_po...1         SET       7     0.095557    0.0018468      0.35471      0.39381 Curated_gene_sets:schmidt_por_targets_in_limb_bud_dn
Curated_gene_sets:katsanou_e...2         SET     161    -0.073685   -0.0068015     0.067821      0.86135 Curated_gene_sets:katsanou_elavl1_targets_up
Curated_gene_sets:katsanou_e...1         SET     136     0.056129     0.004765     0.072079      0.21808 Curated_gene_sets:katsanou_elavl1_targets_dn
Curated_gene_sets:wang_thoc1...2         SET       5     -0.31065   -0.0050744      0.35223      0.81109 Curated_gene_sets:wang_thoc1_targets_up
Curated_gene_sets:wang_thoc1...1         SET      17     -0.14564   -0.0043853      0.19623      0.77101 Curated_gene_sets:wang_thoc1_targets_dn
Curated_gene_sets:servitja_i...2         SET     158      0.10521    0.0096209     0.067575     0.059758 Curated_gene_sets:servitja_islet_hnf1a_targets_up
Curated_gene_sets:servitja_i...1         SET      97    -0.050534   -0.0036268     0.086008      0.72158 Curated_gene_sets:servitja_islet_hnf1a_targets_dn
Curated_gene_sets:servitja_l...2         SET     127   -0.0016904  -0.00013871     0.072322      0.50932 Curated_gene_sets:servitja_liver_hnf1a_targets_up
Curated_gene_sets:servitja_l...1         SET     152    -0.060658   -0.0054416      0.06755      0.81539 Curated_gene_sets:servitja_liver_hnf1a_targets_dn
Curated_gene_sets:madan_dppa...          SET      49     0.048439    0.0024741      0.11897      0.34195 Curated_gene_sets:madan_dppa4_targets
Curated_gene_sets:kohoutek_c...1         SET      47    -0.044688   -0.0022355      0.11149      0.65572 Curated_gene_sets:kohoutek_ccnt1_targets
Curated_gene_sets:kohoutek_c...2         SET      54     0.060364    0.0032362      0.10477      0.28226 Curated_gene_sets:kohoutek_ccnt2_targets
Curated_gene_sets:pedersen_m...1         SET      46    -0.088347   -0.0043724      0.12353      0.76275 Curated_gene_sets:pedersen_metastasis_by_erbb2_isoform_1
Curated_gene_sets:pedersen_m...2         SET      17     -0.26476    -0.007972      0.22455      0.88081 Curated_gene_sets:pedersen_metastasis_by_erbb2_isoform_3
Curated_gene_sets:pedersen_m...3         SET     100       0.1325    0.0096546     0.084734     0.058954 Curated_gene_sets:pedersen_metastasis_by_erbb2_isoform_4
Curated_gene_sets:pedersen_m...4         SET      11    -0.091764   -0.0022229         0.25      0.64321 Curated_gene_sets:pedersen_metastasis_by_erbb2_isoform_5
Curated_gene_sets:pedersen_m...5         SET      27      0.15804    0.0059953      0.17561      0.18408 Curated_gene_sets:pedersen_metastasis_by_erbb2_isoform_6
Curated_gene_sets:pedersen_m...6         SET     371     0.031574     0.004399     0.042532      0.22894 Curated_gene_sets:pedersen_metastasis_by_erbb2_isoform_7
Curated_gene_sets:pedersen_t...          SET      73     0.011969   0.00074566     0.097775      0.45129 Curated_gene_sets:pedersen_targets_of_611ctf_isoform_of_erbb2
Curated_gene_sets:wakabayash...3         SET     140   -0.0019265  -0.00016591      0.06512       0.5118 Curated_gene_sets:wakabayashi_adipogenesis_pparg_rxra_bound_36hr
Curated_gene_sets:wakabayash...1         SET      29      0.17056    0.0067054      0.15238      0.13151 Curated_gene_sets:wakabayashi_adipogenesis_pparg_bound_36hr
Curated_gene_sets:wakabayash...4         SET     811     0.052762     0.010738     0.028525     0.032188 Curated_gene_sets:wakabayashi_adipogenesis_pparg_rxra_bound_8d
Curated_gene_sets:wakabayash...2         SET     609      0.04738    0.0084026     0.032609     0.073127 Curated_gene_sets:wakabayashi_adipogenesis_pparg_bound_8d
